id,bim360_account_id,bim360_project_id,name,wf_type
792dc6a7-256f-4b81-b4c5-c1a85b7e1b6b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Structure,reviewer_only
738fce64-7296-42e9-94d4-f6120ddc3cfa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Default RFI workflow,reviewer_only
6ff3ca93-0b91-4ba0-8592-47ef8ea8232e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Reviewer with coordinator,reviewer_and_coordinator
60d673d7-1d29-4b03-9ce3-1ac9eadb50e1,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,HO Omaxe,reviewer_only
5476334f-97d4-444a-a035-dc77f036673f,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Contractor,reviewer_and_coordinator
82aa0e26-d004-4422-b583-c95cddc82e7e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Electrical,reviewer_only
710bd7d2-92a7-40f4-b200-fe125ef29cbf,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Mechanical,reviewer_only
4840de48-3da5-4486-8256-95976312688c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Plumbing,reviewer_only
c3e33493-d90c-4d40-b44c-349995671592,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Structure - Architecture,reviewer_only
9f93ff0e-2e2f-45b8-bc4e-68efdc69391e,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Electrical,reviewer_only
a3c5fb04-0c08-4838-b050-615c1e7dd04e,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Structure,reviewer_only
b7484b7e-9f50-426f-ac2a-7d4a91c36506,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Default RFI workflow,reviewer_only
bfbee68d-6b7a-4366-8779-1cc39d7442bb,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Reviewer with coordinator,reviewer_and_coordinator
30be815a-143b-45fa-90c3-e4483e2eb169,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Contractor,reviewer_and_coordinator
6a72303d-ef1f-4d0a-be4a-f98e9f24fcb0,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,HO Omaxe,reviewer_only
a089e4cb-f248-4307-baa4-71185ce107fc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Structure,reviewer_only
13165934-e1ef-481c-ad99-e29a7b9b66d6,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,MEP,reviewer_only
bdbcfbef-3fa5-46e6-8ae1-f689f7e72f8d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Reviewer with coordinator,reviewer_and_coordinator
93c573ab-c8a3-4f70-9e41-c11f585efb3a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Contractors,reviewer_and_coordinator
f7bfc5aa-e8d3-4407-987e-b0ae912ccea8,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Default RFI workflow,reviewer_only
eb0d2b6a-9519-41e7-abdf-0cc0ae1dae12,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,Reviewer with coordinator,reviewer_and_coordinator
eb3648ba-f646-4da8-9cf5-cbd48c558ef0,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Structure,reviewer_only
10792932-1d97-4ae0-8d88-c1fa663cd79f,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Default RFI workflow,reviewer_only
fe807e1a-1cdd-4a84-ab55-d9333277b3e3,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Reviewer with coordinator,reviewer_and_coordinator
820a7043-3b74-4f99-ba2f-1134e6acd54b,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Contractor,reviewer_and_coordinator
4ee21cbe-ad33-40c3-b88d-182d4e5d63b1,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Electrical,reviewer_only
e8a7059d-9cf4-47ef-a94f-6f7fc88cae98,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Mechanical,reviewer_only
854241fa-fd15-47b0-a881-93999435eaec,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,Structure,reviewer_only
22781841-c462-488b-b6d0-7c80442ad0c8,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,Default RFI workflow,reviewer_only
3b91d61a-9439-40cb-b549-e495a8727249,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,Reviewer with coordinator,reviewer_and_coordinator
0c10ca82-5a78-4b3f-9d21-d2f9cfc41259,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Project Team to HO,reviewer_and_coordinator
7a2a59bd-5ca7-4f53-a38b-1e7668572642,bf996092-8d66-408a-8d8e-5065ca3330c2,61c6206e-6e04-428a-836e-f68959d2a057,Default RFI workflow,reviewer_only
88b7dbd3-fc36-445c-96e1-73f4a3afd8fb,bf996092-8d66-408a-8d8e-5065ca3330c2,61c6206e-6e04-428a-836e-f68959d2a057,Reviewer with coordinator,reviewer_and_coordinator
79e7b5db-b42c-4532-bbc6-8fe0773d5e5a,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Structure,reviewer_only
0693f3a4-f9bb-4fc1-b580-fab4618ca23e,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Default RFI workflow,reviewer_only
a5cb30af-fce8-48ea-9c24-2194f5d03a89,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Reviewer with coordinator,reviewer_and_coordinator
b0e16bc8-b214-4743-884a-0c37fef6ac80,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Architecture,reviewer_only
f24ac324-901a-4a0d-b5ff-2c95c204f2f1,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Structure ,reviewer_only
4538fe6c-04f2-48b9-9293-3551f98a5aae,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Structure - Architecture,reviewer_only
9224409c-33fe-484f-a400-a7323518e5e0,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Mechanical,reviewer_only
f2010187-85ee-40f4-8d4f-e20aa7ea66e5,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Electrical,reviewer_only
502d057d-c94f-4115-9b4f-faebeea4a072,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Plumbing,reviewer_only
0773517c-0321-4b67-8ee6-4dbbe9057454,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,Contractor,reviewer_and_coordinator
6c513ee6-1b58-4527-874b-e09d24107ba6,bf996092-8d66-408a-8d8e-5065ca3330c2,d3e63b56-0fd8-48c4-a595-b59dec992cd7,Default RFI workflow,reviewer_only
4ec0f018-e96b-477a-aef0-c88f6926eece,bf996092-8d66-408a-8d8e-5065ca3330c2,d3e63b56-0fd8-48c4-a595-b59dec992cd7,Reviewer with coordinator,reviewer_and_coordinator
8924e246-3f47-4b94-b04b-d36556838d35,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Structure ,reviewer_only
82c0bb35-906c-4985-b9af-5c1e319bda5e,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Structure - Architecture,reviewer_only
c2973acf-c43e-494c-9101-242321c68c40,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Omaxe Project Team,reviewer_and_coordinator
a43302a5-e19d-4cd2-abd5-eb80d3418a34,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,Default RFI workflow,reviewer_only
20b31cad-f0e4-4ace-a19e-ecba26abe215,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,Reviewer with coordinator,reviewer_and_coordinator
f5b8b19e-9398-472d-9fe1-bc630c79e714,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Mechanical,reviewer_only
be7d605c-e8e8-4475-a637-b33214923d25,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Plumbing,reviewer_only
9c7880e9-c7fe-4f79-a354-5a795ed7aaf0,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Structure ,reviewer_only
36a936db-b33c-4168-b0e2-1083f95fac2b,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Structure - Architecture,reviewer_only
bbb9a258-ccf2-4e87-a633-4111b6ef235a,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Omaxe Project Team,reviewer_and_coordinator
cc53c76c-57c0-420b-b80b-a7628ad318b6,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Contractor,reviewer_and_coordinator
9efdc739-2919-42e2-a899-d87d34b024f8,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,HO Omaxe,reviewer_only
42c480f1-278f-4044-8028-4a405cb7d4ba,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Mechanical,reviewer_only
984bce3b-55c6-4d2f-9797-2c601c73068f,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Plumbing,reviewer_only
664fad80-2776-4d6f-82f7-d845b442535d,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Structure - Architecture,reviewer_only
7f83e879-9932-4228-b055-71e18550ee37,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,HO Omaxe,reviewer_only
b2ce1187-c687-457c-8d78-8446fe5ea06d,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Omaxe Project Team,reviewer_and_coordinator
2c98f0ce-e2be-4432-922d-f28ca18b4b93,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Omaxe Project Team,reviewer_and_coordinator
7c11c4f8-2352-468e-8bcd-59b5214d33c3,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,HO Omaxe,reviewer_only
aa6b16b7-874f-48fe-b828-aceca91088f7,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Plumbing,reviewer_only
bcfaa58e-08c6-4bec-a9ef-78b980916a56,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Structure ,reviewer_only
3f2f8314-4e05-460e-a048-5e8ed6b56a4c,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,Structure - Architecture,reviewer_only
dba733ec-bd33-426d-b6ac-47cfd844d9a9,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,Contractor,reviewer_and_coordinator
c848795f-637b-46f7-8315-091b5ad715c9,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,HO Omaxe,reviewer_only
feeb6852-52bc-4d42-9239-14c26a179184,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,Electrical,reviewer_only
