rfi_id,bim360_account_id,bim360_project_id,location
9442770e-e584-4ce9-87d8-309ec0e35dde,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,ST-4 & Brick Work Section 
96a263f8-ed22-464e-91e0-cfa64dc3b89b,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
974dd3ab-d863-4dad-b8cd-6daac1016478,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Floor Above STP Area
a8f7f8a0-223e-43e2-8f86-03c530677d76,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Ramp Walls 
adf43e5c-df5e-4ec0-8266-ca4458007f25,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,ST1 RCC PARDI
b6c962b1-dc41-4ce0-a21f-9bbfcfbea40a,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
bb9665af-a15e-4e99-8e86-9e5464b23c45,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Slab
bcae37c7-7f8f-43ab-974a-debf55497cc3,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D Wall Zone-3 Strut
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Floor Slab Near Ramp-5 and Ramp-6
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Floor Slab 
cf8e4bda-8147-4a37-8653-852692a83d1c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 To LGF Ramp 3 and 4 
eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
f605a63b-e2dd-47bc-9ecd-f071b7aadeb7,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Raft-4 Top Reinforcement 
fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Ramp-1 To 4 
0cd75373-6a38-46af-b878-5abccb5640ca,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"Panel no - 79, 81, 83 and 86"
346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Refer section Zone 1A and Zone 1C in D-wall 
45153a66-5422-4e2f-9a8e-0e3713ff9d2f,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"Panel No 3,4, 59, 71 & 72 in d-wall "
4dbed860-0879-4aa4-9a98-1f20405dd952,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Dowels in D wall capping beam 
53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"D- Wall, Zone 1C & Zone 1D"
64d26f6f-7580-4bc1-98ba-8ae54eed99fb,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,D-wall Permanent strut 
87adb94e-c40f-4f41-be00-b99e961003af,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Foundation level 
b03f59d3-7897-46cc-83ec-36e8415858d3,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Panel 83 anchor A2 and panel 75 anchor A2
bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Retaining wall originating from  D-wall capping beam 
c1b95096-23e6-4519-8f28-09c0eb95fafd,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,
edd56e40-575f-4677-9b28-55fe6b858745,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,D-Wall at Zone -2 (UGT Area)
