id,sequence_id,instance_id,bim360_account_id,bim360_project_id,step_id,step_name,candidate_type,candidate_oxygen_id
e27dc7f9-31a6-40fe-86d3-c10162cc64a3,46,efe55ae7-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
e27dc7f9-31a6-40fe-86d3-c10162cc64a3,46,efe55ae7-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
45fa4308-4424-4db7-b4e0-4029b8304dbe,47,10b07979-30b5-11f0-9531-026648e652bf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
45fa4308-4424-4db7-b4e0-4029b8304dbe,47,10b07979-30b5-11f0-9531-026648e652bf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
1d1060d3-c067-4a9a-995b-7ebb23c217ee,48,371608cf-30b5-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
1d1060d3-c067-4a9a-995b-7ebb23c217ee,48,371608cf-30b5-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
b3884630-844a-40cf-8df4-6abcea1535ac,49,6e7ec1aa-30b5-11f0-886e-0affe10abe73,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
b3884630-844a-40cf-8df4-6abcea1535ac,49,6e7ec1aa-30b5-11f0-886e-0affe10abe73,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
5da3b0bc-9dfa-48d2-8887-9b98cdf86e02,50,f5d98699-30b6-11f0-92ca-0affce51bea9,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
5da3b0bc-9dfa-48d2-8887-9b98cdf86e02,50,f5d98699-30b6-11f0-92ca-0affce51bea9,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_CEwAhB8p9u,Initiator,role,495513426
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513442
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513428
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513431
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513411
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513415
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513366
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513365
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513379
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513362
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513373
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513361
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513360
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513367
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513369
ce026b1f-1dee-4f24-8720-b44afeb2fa6b,10,1c08aa28-1606-11f0-920e-0affe6ef14c5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_prK257uhuI,Approver,role,495513368
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_CEwAhB8p9u,Initiator,role,495513426
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513442
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513428
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513431
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513411
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513415
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513366
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513365
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513379
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513362
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513373
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513361
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513360
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513367
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513369
26b371b5-4149-4793-8f40-fd0c5e2dd8fd,20,ae0b52ec-2b24-11f0-b49d-0affe9b08383,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_prK257uhuI,Approver,role,495513368
00f54580-dc19-4af1-8ae8-ee749b92b91a,14,,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_OFglnfn9KB,Initiator,role,495513442
00f54580-dc19-4af1-8ae8-ee749b92b91a,14,,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_nBhTQbDvYT,Reviewer,role,495513366
00f54580-dc19-4af1-8ae8-ee749b92b91a,14,,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_nBhTQbDvYT,Reviewer,role,495513365
00f54580-dc19-4af1-8ae8-ee749b92b91a,14,,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_qrwwMJBzZw,Approver,role,495513368
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_CEwAhB8p9u,Initiator,role,495513426
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513442
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513428
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513431
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513411
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_yMGJMOuyW7,Reviewer 1,role,495513415
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513366
1177c134-ee34-46fe-a2b0-e7ce57545b5f,11,fd227f87-1695-11f0-b0a5-0e0917bbc323,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_MTceCtc1Os,Reviewer 2,role,495513365
