id,bim360_account_id,name,status
e2fa9205-6645-4c79-bc71-89b798c553fc,bf996092-8d66-408a-8d8e-5065ca3330c2,Executive,inactive
9025237b-55a0-4f68-b45a-4eb75f2c6797,bf996092-8d66-408a-8d8e-5065ca3330c2,IT,inactive
70545e83-ba7c-4612-8fdb-a9c38dc70e86,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Engineer,inactive
c82a2588-80fc-47e0-9b60-95ed30cbdccb,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Manager,inactive
aba646bd-b493-48bb-8352-1e2b4ac9137d,bf996092-8d66-408a-8d8e-5065ca3330c2,Superintendent,inactive
f50f98b0-65ba-43b5-b991-efb045ca25b6,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Architect,active
4db448a5-fd44-486e-82f7-28df0398a595,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Architect-PMC,active
c96e064e-b8b0-4071-86cd-f7c21d5ac38c,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Project Architect,active
a5bc9e53-3d75-46e4-a90b-cc4a2194caf0,bf996092-8d66-408a-8d8e-5065ca3330c2,Structural Manager,active
0eb3581a-4e53-4055-b078-0399b6a2d920,bf996092-8d66-408a-8d8e-5065ca3330c2,Structural Engineer,active
6da2503c-6c5c-477f-95e4-53e3d35ea863,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Structure,active
0f3e1a1a-3021-4329-a176-2cb5faa05a17,bf996092-8d66-408a-8d8e-5065ca3330c2,Mechanical Engineer,active
4bf19df4-81b1-49ce-abe2-bc68b88d8d7d,bf996092-8d66-408a-8d8e-5065ca3330c2,Electrical Engineer,active
d99effbb-8b39-43c3-b5a9-28dc3c607c95,bf996092-8d66-408a-8d8e-5065ca3330c2,Plumbing Engineer,active
ce0abe70-cd8c-41e3-9c2f-42373a0fd7f3,bf996092-8d66-408a-8d8e-5065ca3330c2,Mechanical Manager,active
fbf906b7-f262-434a-a628-31ab53aed6b9,bf996092-8d66-408a-8d8e-5065ca3330c2,Electrical Manager,active
b86b0fc4-dc82-45da-9e19-8ba5ca297712,bf996092-8d66-408a-8d8e-5065ca3330c2,Plumbing Manager,active
a999b436-a2eb-43f4-bd0d-aedb6b3d89ad,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead MEP,active
45a25e14-6914-4f85-bebb-518335e5ea19,bf996092-8d66-408a-8d8e-5065ca3330c2,Assistant PMO,active
d6701fe4-379a-416f-9a69-9ce924194406,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead PMO,active
60871017-729f-4483-85d2-78de38377558,bf996092-8d66-408a-8d8e-5065ca3330c2,Planning Engineer,active
a792f5ce-8328-460a-ac59-03da7580d0dd,bf996092-8d66-408a-8d8e-5065ca3330c2,Cluster Head,active
5d5858d4-5725-4a2f-9da4-798b6f81d687,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Head,active
f7fb2a16-3762-4122-ae36-cf02a3698f97,bf996092-8d66-408a-8d8e-5065ca3330c2,Quality Engineer,active
86e2ec1c-4435-4166-89af-198f15322b9f,bf996092-8d66-408a-8d8e-5065ca3330c2,Safety Engineer,active
ecee1a09-f44f-4e2d-9c85-25475433ab63,bf996092-8d66-408a-8d8e-5065ca3330c2,Quality Lead,active
877f66ae-b082-442c-8b5d-4c9ced1ddd23,bf996092-8d66-408a-8d8e-5065ca3330c2,Safety Lead,active
6df23868-d4bf-4bd4-a43b-d87629430df8,bf996092-8d66-408a-8d8e-5065ca3330c2,Store Incharge,active
e6a18dff-e1cc-4888-9e0e-61deab4cfb97,bf996092-8d66-408a-8d8e-5065ca3330c2,Accounts,active
6894a7db-5a71-4061-a7e5-7be37a2fe8ea,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Billing Engineer,active
078180f2-6d68-4d90-aa92-a95337e905f3,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Billing Manager,active
25829562-0354-41fb-bf03-c8f95578955b,bf996092-8d66-408a-8d8e-5065ca3330c2,HO Billing Manager,active
3640cc0a-ebe8-4b11-b0d7-ca4e01557918,bf996092-8d66-408a-8d8e-5065ca3330c2,Area Audit Engineer,active
def5da78-1c2d-4506-8f20-e82e9dd0ecf4,bf996092-8d66-408a-8d8e-5065ca3330c2,Area Audit Lead Manager,active
4e94344b-cfdc-4008-8949-ed3abfa89d74,bf996092-8d66-408a-8d8e-5065ca3330c2,Quantity Survey Manager,active
f5e669cd-45b5-4bbc-bb72-f5f51404b611,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Manager,active
125a3757-01dd-4b9d-9d5b-192548dd8f54,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Manager,active
035637d8-478a-4eb7-8445-f86056599ec8,bf996092-8d66-408a-8d8e-5065ca3330c2,Purchase Manager,active
e52d2c2c-2ac1-4970-9a10-806716fa2546,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts-PMC,active
619ab9aa-6273-480c-ac76-b98d343aae93,bf996092-8d66-408a-8d8e-5065ca3330c2,Store Head,active
f0f8c239-14b7-49ee-86d6-5de76ecd2f99,bf996092-8d66-408a-8d8e-5065ca3330c2,Account Head,active
bbec5624-6ea3-4fa0-b625-3fa41962a10f,bf996092-8d66-408a-8d8e-5065ca3330c2,Billing Head,active
1fb1f15a-6b54-4acd-8c35-7b86c87cf9f4,bf996092-8d66-408a-8d8e-5065ca3330c2,Area Audit Lead,active
