id,bim360_account_id,bim360_project_id,item_id,name,revision,created_by,created_at,updated_at,updated_by,upload_urn,category_id,category_value,task_id,is_file_uploaded,urn
fe17153e-c889-40e1-81c3-5126e589d33d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,MTC MS Plate.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.741028,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/d186de05-89f6-4092-9b88-76bbb98eb98b.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.f_mBGMVdTgq3-Cc69zCUmg?version=1
434ce0d7-04ec-4aca-91ea-22e8d0f5044f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,MTC For Str Steel -3.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:13.082697,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/d2021df2-c3d5-4c28-ac2d-c557e9abf6a9.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.z7P2ZXylQGesiXV3oPZmDg?version=1
fac55b64-bd63-470c-98c3-1d47585ca325,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Inspection Doc Fischer.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.277213,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/ae571d23-7849-4383-a160-422a0987634a.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.dWWAu_14SJW94-JEdXAZPw?version=1
f7bd7be0-cc9d-49b3-b6ab-ccb0c8e995dc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,MTC For Str Steel 2.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:13.060455,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/8a11b262-abc6-4304-abb4-725b7bdde475.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.cjki1ZNtQ-qDtULsZqVzAA?version=1
854b2137-ebac-4e7d-81d5-7cc104dfcf81,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Inspection Doc Threaded Rod.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.227046,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/95a82a2a-35af-46f6-8bd9-0d5d0bbb3e6d.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.4SYDkLr6TDOIyczCszdlwA?version=1
509be365-02cf-4641-8594-04a8a90cd2fd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Efficiency Test Cert Multiple Jack.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:11.941853,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/5e3153c3-f81d-4fa4-baea-6e0918803bd9.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.EMBR5c6CQpK9avAckyT5GQ?version=1
246c0783-2fa1-4dd9-b862-b13a3da13fb7,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Inspection report Anchor head.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.301087,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/d896315b-0e38-468a-962f-b3108b7f81b1.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.2PXEATXcSROG3YlIFZW_aQ?version=1
64f766ee-9f08-4b43-a493-97cb6d9786a0,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Inspection report Wedges.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.703894,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/2b618b81-7843-4ddd-a63d-77d612a15a1e.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.F1Bk-NYHTviTzIY2KOiMyQ?version=1
1981dd81-c940-4c21-a1d7-3a56e6ea5bab,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Test Certificate for pressure Guage.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:13.080583,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/7bf299c1-80c2-41e8-9692-cdca8d468e65.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.-lEROzAcTFiYuDlvFya4WA?version=1
3962eda6-5cbb-4df6-89b3-72e8bd8058a9,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,MTC For Str Steel 1.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:12.237,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/148bec4c-0d4a-49a9-aa14-38778df0db02.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.sPh_yvIuT2adBWcdTmhdEw?version=1
c252e1b0-543c-439b-8e18-7e99cd567c7e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,a76dd82f-6f53-4716-8404-51f00d0974f1,Folder permissions report-202506070920.xlsx,0,YEYJGRGXQH2X5DAY,2025-06-07 10:19:43.818534,2025-06-07 10:19:59.469882,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/4816ed07-2d38-4be1-81c9-54c6ba6d9d7e.xlsx,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.excJt1p_SjOcTs_SLqvf5Q?version=1
22298eac-2609-4e56-aba5-ad397ab7cbf5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0bf4361-5da4-43e3-984d-0acab820c533,Test Certificate Cebex 100.pdf,0,3NGJNZCXN8PBNTRV,2025-07-09 05:23:13.069177,2025-07-09 07:01:08.607431,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/fe05d7b6-9b8f-4127-b256-03a25dd1ea1b.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.NGbtny5nS0CdLkwxhEPw9w?version=1
bb0d8680-663f-471c-8e75-cb6e58d8e487,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,df6d7391-1867-43fa-a350-c3f677f87572,MTC For Str Steel 2.pdf,0,YQH2SLPMM8Q48DDT,2025-07-09 07:17:40.147885,2025-08-01 04:24:12.243933,YQH2SLPMM8Q48DDT,urn:adsk.objects:os.object:wip.dm.prod/bdff58f2-ef58-4073-98b8-7a48529c6758.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.dt4Y_iUIQEWS3rGdXYBjVw?version=1
27aaf5b4-2787-446a-bd39-786cfdae4d65,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,df6d7391-1867-43fa-a350-c3f677f87572,Efficiency Test Cert Multiple Jack.pdf,0,YQH2SLPMM8Q48DDT,2025-07-09 07:17:40.034586,2025-08-01 04:24:12.243933,YQH2SLPMM8Q48DDT,urn:adsk.objects:os.object:wip.dm.prod/3d9e63b4-2912-4c61-b281-81719b42fe9a.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.FQwv0vbhSr6pFhDV8d4AEg?version=1
18eaa164-67af-430e-907b-d0e30c39283c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4cc540d2-55f2-4950-a239-9ea3d05a1da1,K S A Inc 11094106448 R 2.pdf,0,TBT25TNGJCJU7GEZ,2025-07-16 10:12:22.8922,2025-07-16 10:16:45.451613,TBT25TNGJCJU7GEZ,urn:adsk.objects:os.object:wip.dm.prod/ee69df4c-10a0-45c9-812b-93cc00bfa612.pdf,3,Review Response,3dd20d12-b98d-44d7-923f-b898224637da,t,urn:adsk.wipprod:fs.file:vf.CK_36s9MQXq2uMUpAJMQVg?version=1
32fa0c36-6301-479c-86e6-0e932bf006cb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4cc540d2-55f2-4950-a239-9ea3d05a1da1,K S A Inc 11094106448 R 2.pdf,0,3NGJNZCXN8PBNTRV,2025-07-16 10:16:29.834692,2025-07-16 10:16:45.451613,3NGJNZCXN8PBNTRV,urn:adsk.objects:os.object:wip.dm.prod/ee69df4c-10a0-45c9-812b-93cc00bfa612.pdf,4,Final Response,,t,urn:adsk.wipprod:fs.file:vf.CK_36s9MQXq2uMUpAJMQVg?version=1
ef394f23-4d52-41b3-b82b-3c2ecd4f1fdc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,072ae1ae-3ba2-4adc-ba96-64add81e55ef,Form detail report-202506031057.pdf,0,YEYJGRGXQH2X5DAY,2025-06-06 08:05:52.895454,2025-07-29 04:42:17.84932,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/31f5f489-45d5-4be7-b553-b171051feffc.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.w3HIiXcDSWe5CePIc7zUgg?version=1
7e8dfab9-bc5a-4cd6-b20b-37d97be62928,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,072ae1ae-3ba2-4adc-ba96-64add81e55ef,Screenshot 2025-06-06 130038.jpg,0,YEYJGRGXQH2X5DAY,2025-06-06 08:05:52.903518,2025-07-29 04:42:17.84932,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/7b0b1b00-4520-4a77-a281-e36adbd8f0c2.jpg,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.uhcO-ngoQjmBv1xbaNHdGQ?version=1
