id,bim360_account_id,bim360_project_id,date,summary_key,temperature_min,temperature_max,humidity,wind_speed,wind_gust,wind_bearing,fetched_at,precipitation_accumulation
17349569,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-04-30,MostlyClear,78.152,97.34,0.410,6.7,,104,2025-04-30 10:44:30.672814,
17349574,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-05-05,MostlyCloudy,74.372,93.074,0.500,7.3,,96,2025-05-05 09:34:11.999207,
17349576,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-05-07,PartlyCloudy,74.984,90.95,0.570,6.5,,102,2025-05-07 08:07:16.180368,0.0834645669291339
17503670,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2025-05-06,MostlyCloudy,73.796,91.364,0.510,5.5,,160,2025-05-07 09:50:49.582044,0.0346456692913386
17503671,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2025-05-07,PartlyCloudy,75.128,92.948,0.540,6.7,,98,2025-07-28 06:29:57.148713,0.0964566929133858
17503678,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2025-05-14,Clear,78.386,103.73,0.330,6.4,,296,2025-05-14 04:10:37.982916,
17536158,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2025-05-16,MostlyClear,80.366,108.446,0.250,8.2,,308,2025-06-27 06:46:36.782844,
17918865,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-05-22,Clear,75.974,97.178,0.550,8.7,,118,2025-07-25 05:42:51.945877,
17918870,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-05-27,MostlyClear,78.782,95.45,0.590,4.8,,108,2025-05-28 06:38:26.059669,
17918871,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-05-28,MostlyClear,80.96,97.61,0.570,4.3,,74,2025-07-27 04:44:39.419388,0.00511811023622047
17918874,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-05-31,MostlyClear,77.738,97.16,0.530,3.6,,198,2025-06-02 05:55:40.825869,0.0464566929133858
17982194,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-03,MostlyClear,76.892,92.066,0.510,4.1,,230,2025-06-10 07:06:59.008742,0.00708661417322835
18049977,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-05-28,MostlyClear,82.058,98.384,0.540,3.5,,78,2025-05-29 08:48:32.578545,0.0015748031496063
18049978,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-05-29,PartlyCloudy,82.346,99.59,0.500,2.6,,195,2025-05-29 08:48:32.578739,
18295161,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,2025-06-05,MostlyClear,76.55,95.9,0.470,5.3,,312,2025-06-05 14:06:51.314213,0.0145669291338583
