id,bim360_account_id,bim360_project_id,rfi_id,from_status,to_status,created_at,created_by
350f7b8d-d0d7-4cc0-a300-501a3947103a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,,submitted,2025-03-07 08:00:15.299,EHAJMY6KJEY6BP5Y
f0cde180-ca9f-4c28-bae5-48b0e6abdffb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,submitted,open,2025-03-07 08:00:31.082,Z3429E4KRUPBNHD4
5fbd7b30-46ea-4058-8330-5a6690db3b76,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,open,answered,2025-03-07 08:01:58.453,Z3429E4KRUPBNHD4
b6125ea0-d6d8-4f6f-9f1e-d6b0e9d1a51d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,answered,open,2025-03-07 08:02:57.492,Z3429E4KRUPBNHD4
7388990d-a99d-49f5-9b91-cf813cef29b4,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,open,answered,2025-03-07 08:03:42.016,Z3429E4KRUPBNHD4
d481aef2-24e0-432f-8b68-e4cdb5e4861b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82eab9df-677f-4593-8f6d-8c74e38a1ff6,answered,closed,2025-03-07 08:04:05.675,Z3429E4KRUPBNHD4
5f16126f-7151-4296-b05d-8831c839bf48,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,e7de1f64-5f22-4757-ae61-7275b21cec04,,draft,2025-05-07 07:01:00.123,K2J2KRKSN8WCREQG
204775fc-137d-48fc-aa14-8d16c9e4e1ea,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b6c962b1-dc41-4ce0-a21f-9bbfcfbea40a,draft,void,2025-05-14 09:52:32.821,CMJ2N3U8MSMRM8ZA
46320d7f-f3b7-484e-8721-ea16557f781f,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,122c766e-4a34-4a13-8641-637176d1ce2c,draft,void,2025-05-14 09:53:05.369,CMJ2N3U8MSMRM8ZA
da9abee7-916c-4b86-8d2c-c8ad00b3dd85,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,9bf2869f-da2e-4282-8c03-5588b932d8b4,,open,2025-05-14 10:29:42.851,CMJ2N3U8MSMRM8ZA
5d6b8dc6-6838-47c8-92b5-e1412c84603b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,6f61287e-aabf-4244-9508-328892a68dcd,,open,2025-05-14 10:38:52.772,CMJ2N3U8MSMRM8ZA
b6f4eb5f-b5db-4410-9011-8c655f06d7cc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,bfaf378f-5271-4593-8374-2d1495aacea0,,submitted,2025-05-14 11:27:03.323,YEYJGRGXQH2X5DAY
9cccc568-6864-4561-ac09-732a63fc8c86,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,bfaf378f-5271-4593-8374-2d1495aacea0,submitted,open,2025-05-14 11:27:38.027,YEYJGRGXQH2X5DAY
450289d3-fcf4-4030-8d5c-7d43559f60c3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,63a8591c-f7bd-4448-8d90-e3894eb810e8,,draft,2025-05-22 04:18:09.866,3TSJN3BRN9YVX2DX
149ced3a-3fc8-48b4-9547-9cd061021a39,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,940d0f6c-6d48-4a8e-884b-f75a8b003042,,openRev1,2025-05-22 06:20:36.006,CMJ2N3U8MSMRM8ZA
e361d64a-ff61-49f5-8a54-307942e18dbc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,940d0f6c-6d48-4a8e-884b-f75a8b003042,openRev1,submitted,2025-05-22 06:28:23.939,3NH2Q57QKQWJE37V
a549cc0e-c7b9-48b7-9938-dc2c69674d78,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,4dbed860-0879-4aa4-9a98-1f20405dd952,,open,2025-05-22 06:41:31.91,7XGJKR7GMJ4QN93J
6db3f145-926e-4176-918d-c68e5082c51a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,940d0f6c-6d48-4a8e-884b-f75a8b003042,submitted,void,2025-05-22 07:00:00.069,V9Q2X946QA52XTJG
88380435-bd29-4e49-a318-8cc73b016e57,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,,submitted,2025-05-22 07:06:00.568,CMJ2N3U8MSMRM8ZA
7910dbb4-b045-49c9-a72c-8774ff446938,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,submitted,draft,2025-05-22 07:06:14.928,CMJ2N3U8MSMRM8ZA
cb04e632-42dc-4a56-8d0e-c41585ec2d0a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,draft,submitted,2025-05-22 07:06:35.259,CMJ2N3U8MSMRM8ZA
c0ceda55-f63a-4f82-9aaa-cdc9c5d8d956,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,submitted,openRev1,2025-05-22 07:20:56.265,3NH2Q57QKQWJE37V
50c06984-0a88-472b-9036-9fd3c9a00c1d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev1,openRev2,2025-05-22 07:21:47.09,3NH2Q57QKQWJE37V
51d2f167-c326-4449-9794-721468bcf6b3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev2,openRev1,2025-05-22 07:22:31.005,3NH2Q57QKQWJE37V
714a420e-e36f-4310-a104-c1cfeb32e454,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev1,openRev2,2025-05-22 07:22:43.793,3NH2Q57QKQWJE37V
a5435a37-976b-48e7-9000-72c9c8eb78ab,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev2,openRev1,2025-05-22 07:27:31.501,V9Q2X946QA52XTJG
3fa8cd08-6ef5-49da-9152-868c45cb7be0,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev1,openRev2,2025-05-22 07:27:51.765,V9Q2X946QA52XTJG
54ad62b7-f288-40d9-b609-1331adb671a7,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev2,answeredRev1,2025-05-22 07:41:58.649,CMJ2N3U8MSMRM8ZA
77b5dd63-e189-4f6c-a7c0-13b8a6028fc5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,answeredRev1,openRev2,2025-05-22 08:41:12.318,V9Q2X946QA52XTJG
abbcc46f-fc5b-42b9-b909-6debe8e06b09,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,c1b95096-23e6-4519-8f28-09c0eb95fafd,answeredManager,closed,2025-05-22 08:43:40.142,7XGJKR7GMJ4QN93J
59eebc5e-ac95-4ecf-bf2d-18acb8837d22,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,openRev2,answeredRev1,2025-05-22 09:15:45.239,CMJ2N3U8MSMRM8ZA
