weather_id,bim360_account_id,bim360_project_id,hour,summary_key,temp,wind_speed,wind_bearing,humidity,fetched_at,created_at,updated_at
19037253,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyClear,81.446,2.9,36,0.890,2025-07-13 04:43:16.738639,2025-07-03 12:48:55.152486,2025-07-13 04:43:16.757268
19037253,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,PartlyCloudy,90.05,6.4,85,0.680,2025-07-13 04:43:16.738937,2025-07-03 12:48:55.152489,2025-07-13 04:43:16.75869
19037253,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,91.436,6.8,81,0.630,2025-07-13 04:43:16.739173,2025-07-03 12:48:55.15249,2025-07-13 04:43:16.758692
19037254,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyCloudy,80.96,6.2,41,0.910,2025-07-13 05:06:01.239354,2025-07-03 12:48:55.157676,2025-07-13 05:06:01.261795
19037254,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,87.404,7.4,91,0.770,2025-07-13 05:06:01.239655,2025-07-03 12:48:55.15768,2025-07-13 05:06:01.261797
19037254,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,90.662,7.6,121,0.690,2025-07-13 05:06:01.239923,2025-07-03 12:48:55.157681,2025-07-13 05:06:01.264011
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Rain,79.592,5.7,83,0.940,2025-08-03 04:12:36.9129,2025-07-20 05:26:03.536213,2025-08-03 04:12:36.934716
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,83.48,5.6,88,0.830,2025-08-03 04:12:36.913194,2025-07-20 05:26:03.536216,2025-08-03 04:12:36.935877
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,85.586,7.4,96,0.790,2025-08-03 04:12:36.913429,2025-07-20 05:26:03.536217,2025-08-03 04:12:36.935878
19645173,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,85.784,4.1,264,0.790,2025-08-08 06:04:48.137472,2025-07-28 10:17:58.176892,2025-08-08 06:04:48.154407
