rfi_id,bim360_account_id,bim360_project_id,user_id
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,WK7J3NJWMTCK9UWQ
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Y2W2RXA2P4MPP325
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D5ZKMDH5JP7L
c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,MXG2L5VEMSKN8SVN
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,C6Z2RETEN3MN8XZF
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,CMJ2N3U8MSMRM8ZA
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D5ZKMDH5JP7L
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,DQ72WAMCK3PT3T58
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,KNL28BHPJJMCM75F
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,MXG2L5VEMSKN8SVN
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,RQ92XKNVL7KYFP4W
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,VYKJ7GRWMX37AKTY
cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Y2W2RXA2P4MPP325
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,CMJ2N3U8MSMRM8ZA
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D5ZKMDH5JP7L
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,DQ72WAMCK3PT3T58
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,KNL28BHPJJMCM75F
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,MXG2L5VEMSKN8SVN
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,UQ72RJ7QKZSW8XTA
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,VYKJ7GRWMX37AKTY
cd7c713a-ae11-4092-9580-89bc58188aa8,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,WK7J3NJWMTCK9UWQ
