id,updated_at,predicted_at,root_cause,bim360_account_id,bim360_project_id
05050ce4-7eb8-47c5-b0d7-2463271de5c6,2025-06-03 06:07:49.953,2025-06-03 09:22:50.424334,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
f605a63b-e2dd-47bc-9ecd-f071b7aadeb7,2025-06-11 03:52:01.269,2025-06-11 09:23:39.369084,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
703cfc1d-6e3f-4588-8cce-bb97d726d407,2025-06-24 07:06:28.691,2025-06-24 09:21:02.737145,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
ebae4fd9-7df4-4399-b7d0-5c192d69587c,2025-06-13 08:50:47.174,2025-06-13 09:21:58.752279,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
0cd75373-6a38-46af-b878-5abccb5640ca,2025-07-05 03:48:48.609,2025-07-05 09:20:51.310098,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
a8f7f8a0-223e-43e2-8f86-03c530677d76,2025-06-24 07:26:11.27,2025-06-24 09:21:14.184204,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
dab585c9-a66f-4494-9db2-798dc6fc7e3e,2025-07-10 13:19:12.612,2025-07-10 13:37:03.1972,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
2446521d-2a01-483c-9946-10b851691706,2025-07-31 06:04:21.559,2025-07-31 09:23:07.830198,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
5b720536-4706-4490-b00b-9d3e8f81a3ff,2025-08-08 06:19:52.891,2025-08-08 09:24:24.811947,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
5a12549f-3642-4f79-be20-4a54f670a66a,2025-08-16 05:22:34.511,2025-08-16 09:27:17.637212,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
93b819ae-26c5-487f-a2b0-b427c708493d,2025-08-20 13:22:10.593,2025-08-20 13:36:38.915438,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
e2dce441-b9cf-4d11-b0bf-3ce7ca23cdf4,2025-08-26 09:19:40.033,2025-08-26 09:39:59.234359,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
71eb57cc-d3df-4afb-88eb-d3014399addc,2025-08-26 14:25:19.991,2025-08-26 14:50:52.440711,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
3cc85ced-2c3b-4bca-8a97-9986d0a7e360,2025-08-20 10:25:25.555,2025-08-20 10:52:36.575299,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
cf8e4bda-8147-4a37-8653-852692a83d1c,2025-08-19 07:20:15.711,2025-08-19 09:25:01.301033,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
2806d303-c642-48b1-af1e-7e81ffb890fc,2025-08-28 09:02:11.046,2025-08-28 09:21:48.862484,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
d3a76424-f074-4c44-8407-32ea935f177a,2025-08-26 06:52:51.026,2025-08-26 09:22:11.640918,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
10cd0dbf-d97b-447a-965e-0eb1519625be,2025-08-27 09:37:24.913,2025-08-27 10:08:13.647145,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
87564a46-20b8-4e67-a71f-c102ae8216be,2025-08-28 08:59:39.277,2025-08-28 09:22:07.621223,Design Coordination,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
4cb013ec-5359-46ee-b519-677387263db1,2025-08-28 16:19:20.156,2025-08-28 16:35:23.470315,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
