id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
629134757,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,be211b5b-6ca4-505a-beab-371f82c8d11a,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134758,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,76928131-0a6b-55e0-abc7-a5357272dcfb,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134759,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,65ce29f9-28a0-5677-98c8-7801d52c012c,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134760,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,a54f005b-e0ca-55f6-9c24-4606a9096c90,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134761,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,aa6c7ffa-c2f0-562a-aaf3-9f24ebb8a9ed,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134762,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,fef7a30e-1b0a-5c3c-bd47-4d17e45b9e85,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134763,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,fe70b76f-2508-5ab9-8973-77fdeb5ae603,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134811,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,27dd66de-df4e-4db1-8d67-da7db0fff40c,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-04-02 08:43:51.975706,Z3429E4KRUPBNHD4,2025-04-02 08:43:51.975706,f,,,
629245287,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,a710182a-1fb5-4c49-9c67-4faaf55107a6,,,acc/approval_stamp,CJ5ZQTRST43G,2025-04-02 11:34:56.608472,CJ5ZQTRST43G,2025-04-02 11:34:56.608472,f,,,
629239523,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,fe72d164-6409-4357-98c9-76c8e3c109f6,,,acc/approval_stamp,CJ5ZQTRST43G,2025-04-02 11:27:55.141007,CJ5ZQTRST43G,2025-04-02 11:35:21.424546,t,CJ5ZQTRST43G,2025-04-02 11:35:21.464212,
630834909,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,0c7b1bc0-0197-4f9e-ad7b-3bf52658abf7,,,plangrid/cloud,S8W2PRCHQXETHD6D,2025-04-03 05:49:44.628385,S8W2PRCHQXETHD6D,2025-04-03 05:49:52.239644,t,S8W2PRCHQXETHD6D,2025-04-03 05:49:52.362611,
630835542,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,39e7ebdc-e85b-448c-a522-af506340dfdb,,,plangrid/boxArrowText,S8W2PRCHQXETHD6D,2025-04-03 05:50:06.00676,S8W2PRCHQXETHD6D,2025-04-03 05:50:07.548538,t,S8W2PRCHQXETHD6D,2025-04-03 05:50:07.565936,Add text
630835553,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,da5f13df-18b1-4497-bed1-1851155db4af,,,plangrid/boxArrowText,S8W2PRCHQXETHD6D,2025-04-03 05:50:12.867978,S8W2PRCHQXETHD6D,2025-04-03 05:50:12.867978,f,,,Add text
630883491,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,d9c193b0-1291-477e-9edb-7c890e3729be,,,plangrid/cloud,V9Q2X946QA52XTJG,2025-04-03 10:00:28.386008,V9Q2X946QA52XTJG,2025-04-03 10:00:28.386008,f,,,
630883501,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,f5cc6ab1-178d-4bf2-b04c-926452c2102b,,,plangrid/text,V9Q2X946QA52XTJG,2025-04-03 10:00:35.501728,V9Q2X946QA52XTJG,2025-04-03 10:00:35.501728,f,,,Add text
