id,rfi_id,bim360_account_id,bim360_project_id,entity_id,entity_type,display_name,created_at,created_by,deleted_at,deleted_by
028e503d-eb49-4e75-acc8-6c9e14bc944e,ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,ebae4fd9-7df4-4399-b7d0-5c192d69587c,rfiOfficialResponse,VDN-A-TA-4F-107-GFC.dwg,2025-06-13 08:50:25,CMJ2N3U8MSMRM8ZA,,
7ba8a429-cace-477c-9cdb-2adf5f9555fc,53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,c7b19ba5-bb32-49e7-907c-125c3050cbf0,rfiResponse,"24296, Omaxe Limited, Diaphragm wall design, Gaziabad, UP RC (27.02.2025).DWG",2025-07-04 10:32:58,S762NMGBKUB423MM,,
c1c4b318-7701-44ee-9eea-dca53ff9191f,53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,c7b19ba5-bb32-49e7-907c-125c3050cbf0,rfiResponse,"24296, Omaxe Limited, Diaphragm wall design, Gaziabad, UP RC (27.02.2025)-SECTION-2.pdf",2025-07-04 10:32:58,S762NMGBKUB423MM,,
1c8eafce-894f-4f4c-b77c-61d9121768e7,53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,53f61369-aaca-4d22-952f-b49d2e81fbf4,rfiOfficialResponse,"24296, Omaxe Limited, Diaphragm wall design, Gaziabad, UP RC (27.02.2025).DWG",2025-07-04 10:32:58,S762NMGBKUB423MM,,
eeb6b724-1575-4f07-b293-638d3406fa13,53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,53f61369-aaca-4d22-952f-b49d2e81fbf4,rfiOfficialResponse,"24296, Omaxe Limited, Diaphragm wall design, Gaziabad, UP RC (27.02.2025)-SECTION-2.pdf",2025-07-04 10:32:58,S762NMGBKUB423MM,,
7707e853-950a-4699-97a1-4e782a1f3e01,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,rfiOfficialResponse,1) VDN-S-TA-RM-101 TO 104 -GFC STR.RAMP LAYOUT  DETAIL.dwg,2025-07-23 15:06:52,67E2T63RRMUGH3NG,,
02aaa0bf-68e8-4c94-8884-31fbd73e15ab,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,rfiOfficialResponse,VDN-S-TA-RM-202 -GFC STR. RAMP BEAM DETAILS.pdf,2025-07-23 15:06:51,67E2T63RRMUGH3NG,,
7085b5ef-3563-4553-a555-3d5cf495df81,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,rfiOfficialResponse,VDN-S-TA-RM-101 -GFC STR.RAMP LAYOUT  DETAIL.pdf,2025-07-23 15:06:51,67E2T63RRMUGH3NG,,
4b64972c-3603-40ba-b328-1a76c744e7da,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,c1f224e8-c8d7-4d3e-9ca9-66288b4b943e,rfiOfficialResponse,2) VDN-S-TA-RM-201 TO 204 -GFC STR. RAMP BEAM DETAILS..dwg,2025-07-23 15:06:51,67E2T63RRMUGH3NG,,
9eb7b7a6-d757-4b25-b5be-035b0b25b992,cf8e4bda-8147-4a37-8653-852692a83d1c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,866edc93-fe6a-48fc-9f09-d8d5ee7a0d95,rfiResponse,VC-RAMP-01 TO 04-25.12.2024.dwg,2025-08-18 10:22:03,NTHFQB8P8X3C,,
