bim360_account_id,bim360_project_id,role_oxygen_id,name,status,role_id
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947522,Wind Tunnel Analysis Consultant,active,e905addf-5d4c-44c2-9c0f-362b3c4c2e63
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947523,Lead Structure Consultant,active,ff67dcda-ea1e-4155-9691-c38b7e6d5eea
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947524,Lead Signage consultant,active,ada5b587-f6ae-4fa8-85d8-e17ed735b634
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947525,Architect,inactive,ccdf8eb8-b53b-406f-8be7-321adce5edf7
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947526,Structure Consultant,active,7550c964-5017-4253-ad9f-3162cb7aaf15
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947527,BIM Manager,inactive,e5d3bbf0-844b-4f74-94f2-4bf0b1740d50
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947528,Construction Manager,inactive,a41ca2b0-e398-49d1-92de-187f6d41524a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947529,EA to ED,active,e27ba42f-b1ce-40a5-b36f-91ab08c94953
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947530,Cost Consultant,active,82c3e57f-b273-4c56-ab8c-340fd850c099
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947531,Engineer,inactive,27f14658-00c7-4c66-8b54-25aa3c79aa2a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947533,Document Manager,inactive,aed21e25-b6e7-4dc5-a98e-6c706e2bbec3
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947532,Executive Director,active,c309364f-ac33-4100-b30b-ec1f8f5defa4
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947534,Estimator,inactive,55c1a0c3-9fa8-4ec4-bf28-d432b35b70fb
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947521,Area Audit Lead,active,1fb1f15a-6b54-4acd-8c35-7b86c87cf9f4
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947535,Executive,inactive,e2fa9205-6645-4c79-bc71-89b798c553fc
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947536,Site Foreman,active,cfff5950-5a05-44bf-9dca-24491016f965
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947538,Architect Consultant - Retail,inactive,e425156d-6622-4a2e-b8f0-41a5e38ec732
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947540,VDC Manager,inactive,866ea3b3-a381-464e-ab2d-0712065eac16
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947539,IT,inactive,9025237b-55a0-4f68-b45a-4eb75f2c6797
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947537,Superintendent,inactive,aba646bd-b493-48bb-8352-1e2b4ac9137d
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947544,Project Engineer,inactive,70545e83-ba7c-4612-8fdb-a9c38dc70e86
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947542,Superintendent,inactive,4bd4f872-6b47-42d0-90b6-1a2cc3771b17
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947543,Lead Architect Consultant - Retail,inactive,8f8f1c47-c054-430b-bfba-1d35805591cf
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947545,Project Manager,inactive,c82a2588-80fc-47e0-9b60-95ed30cbdccb
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947541,Signage consultant,active,052a2d97-df59-47b0-9801-70e10e758fef
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947546,Lead Project Architect - Club and Master Plan,inactive,e3ee698f-72e0-4633-80e7-fc6cf7c74ca2
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947547,Architect Consultant - Club and Master Plan,inactive,8ad4dfea-44dc-4d97-aa5e-326e75a90abe
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947548,Director Architect Consultant - Club and Master Plan,inactive,3857e30c-dacf-4a29-915f-9fff9c29e7f6
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947549,Lead Structure Consultant - Stadium,inactive,81ce4413-9b0b-4d7e-a872-2035cba0a9eb
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947550,Structure Consultant - Stadium,inactive,4be95290-7f58-4d0e-be0c-f3abe2bca791
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949035,Mechanical Engineer,active,0f3e1a1a-3021-4329-a176-2cb5faa05a17
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949036,Electrical Engineer,active,4bf19df4-81b1-49ce-abe2-bc68b88d8d7d
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949037,Plumbing Engineer,active,d99effbb-8b39-43c3-b5a9-28dc3c607c95
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949038,Project Manager,active,f5e669cd-45b5-4bbc-bb72-f5f51404b611
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949039,Structural Engineer,active,0eb3581a-4e53-4055-b078-0399b6a2d920
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949041,Project Architect-PMC,active,4db448a5-fd44-486e-82f7-28df0398a595
